"OrdIndex"	"Title"	"Description"	"Location"	"Type"	"Salary"	"lon"	"lat"
"675"	675	"SEN Teaching Assistant"	" Specialist Teaching Assistant in Special Educational Needs and Disabilities (SEND)  TeachSolve are currently looking for Teaching Assistants with SEND experience to join our team in the North East. We are looking for TA’s to start work in September with a range of pupils with complex needs, learning difficulties and PMLD. What we need from you: Experience of working with children and young people with PMLD, MLD, Autism and challenging behaviour. Ability to communicate effectively with pupils, colleagues and parents. Experience of working with small groups or on a 1:1 basis Experience with TeamTeach would be an advantage What we can offer: Short term or long term positions to match your preferences Excellent pay rates paid weekly! Support throughout your placement Access to free CPD such as TeamTeach, Autism Awareness and Moving and Handling qualifications. We are committed to safeguarding and promoting the welfare of children and young people and expect all staff to share this commitment. An enhanced criminal records check is required for this post. If you are interested then please give us a call on 0800 014 2713, we look forward to hearing from you! Job Types: Full-time, Part-time Salary: £60.00 to £85.00 /day "	"Durham"	"Part-time"	"£60 - £85 a day"	-1.5758539	54.7764152
"676"	676	"Support and Reablement Workers"	" We are currently recruiting for Support Workers to join our Community Teams supporting vulnerable people across the City of Sunderland. The Reablement at Home Service and Telecare Service are both responsive teams who visit customers in their own homes who may require care following a period in hospital or a decline in their wellbeing. We will visit for a time limited period and assist to set goals to promote independence and confidence. The Telecare Service will also respond if the customer presses an alarm for support. The services operate a set rota. This is for a 32 hour a week position and full driving license is required along with use of own vehicle. NVQ2 or higher in health and social care and a transferrable DBS would be an advantage. Please call 0191 499 9965 during office hours for further information. Job Types: Full-time, Contract Salary: £9.02 to £9.92 /hour Experience: support work: 1 year (Preferred)Licence: UK driving (Preferred) NVQ 2 or higher (Preferred) "	"Sunderland"	"Contract"	"£9.02 - £9.92 an hour"	-1.375053	54.9063791
"677"	677	"Cook"	"35 hours per week, including weekends £8.81 per hour We are currently looking to recruit a Cook at Picktree Court Care Home in Chester-Le-Street. Picktree Court Care Home caters for 65 older persons requiring residential care on the ground floor and first floor with a further 27 beds on the second floor providing nursing care, all provided to an exceptionally high standard. In March 2018 Picktree Court Care Home was rated Outstanding by the Care Quality Commission. You will be responsible for preparing and cooking a balanced, nutritious diet within a controlled hygienic environment, meeting residents dietary requirements as necessary. Responsibilities: working with raw ingredients, required knowledge of food/nutrition, to prepare and cook nutritional food from fresh to a high standard at agreed meal times from set menus. Ensuring rotation of foodstuffs, ordering fresh food and other food, monitoring and recording temperature checks. As Cook you will lead the catering team to provide nutritious and enticing meals for the residents in our care. You will be responsible for ensuring meal times are an enjoyable part of the day, involving residents in preparing and developing menus. The successful candidate must be able to work using their own initiative without supervision over a 7 day rota. An excellent knowledge of food hygiene and food preparation is essential, along with a positive attitude and desire to deliver the best possible service to the residents in our care. Experience of supervising or leading a team is desirable. Successful applicants are required to provide an enhanced disclosure. Disclosure expense will be met by applicant. To apply, please call or email to request an application form."	"Chester-le-Street"	"Permanent"	NA	-1.5750431	54.8543237
"678"	678	"Night Care Assistant"	" Package Description Competitive package About The Role An exciting opportunity has arisen for a Night Care Assistant to join the team at: Garden Hill Care Home Location: Garden Hill Care Home 32 St Michaels Avenue South Shields Tyne & Wear NE33 3AN £8.25 - £8.65 per hour depending on qualifications Whatever your background, whether you are experienced in your field or seeking to start a career within care, we’d love to hear from you. You'll be instrumental in helping our Residents to live full, happy and healthy lives, by delivering front-line care, support and companionship. We recognise that being a Carer is one of the toughest but most rewarding jobs, so in order to support you, we provide all the training and qualifications you'll need for the role through our comprehensive regional and local training programmes, which we encourage all our team to access, with the support and guidance to develop your career with us. If you hold NVQ level qualifications in Health & Social care you can also benefit from higher pay increments. About You Our ideal Night Health Care Assistant / Carer will have the following skills and values: Caring nature. Strong communication skills. Ability to work as part of a team and individually. Flexibility and be able to adapt to the needs of Residents. Benefits In return for this you will receive a competitive salary package plus: 5.6 weeks annual leave Fully funded training Development opportunities SimplyHealth cover after one year of service, inc. cashback on medical and dental expenses Discounted Spa breaks PerkBox - a range of discounts and free monthly offers for a variety of high street shops and restaurants Cycle to Work scheme NEST pension plan Nurse and Care referral scheme Rewards for 5, 10, 15, 20 and 25 years of service Annual staff recognition - MMCG Care Awards About Us  About Us  Care is at the heart of what we do here at Maria Mallaband Care Group. We're an established family-run care provider, and we deliver care to over 3,500 residents across our 80+ care homes nationwide.  Our mission is to be the best quality; most highly regarded Care Provider in the United Kingdom and our vision is to create a home from home environment for both residents and staff.  We are committed to being an Investors in People employer, which means that we continually invest in your personal training and development. MMCG is a place where your career truly starts to grow.  All applicants will be subject to satisfactory references and all employees are checked against the Disclosure & Barring Service (DBS).  For further information about the role, call our recruitment line any time on 0808 163 9199.  You can find out more about life at MMCG on Facebook and Twitter:  www.facebook.com/mariamallabandjobs  www.twitter.com/mmcgjobs  Please be aware this vacancy may close earlier than the advertised closing date if sufficient applications have been received. "	"South Shields "	NA	"£8.25 - £8.65 an hour"	-1.4321848	54.9987414
"679"	679	"Team Teach Trained Teaching Assistant"	"One of our lovely partnership primary schools in Winlaton is currently seeking an enthusiastic, resilient and hardworking Team Teach Trained Teaching Assistant to join them on a full-time basis until the summer, though the role may run on into the new academic year. The school are looking for a specialist Teaching Assistant who will be able to provide 1:1 tailored support for a Reception child who has behavioural difficulties. The successful candidate therefore MUST hold an up-to-date Team Teach qualification (or equivalent e.g. Moving and Handling) as they will frequently be required to intervene in the child's physical disruptive behaviours. This is a lovely, supportive school where the staff work together as a strong team to ensure that children are given the best possible chance to succeed, making this an excellent opportunity to enhance your CV and experience. Successful candidates MUST:Hold an up-to-date Team Teach qualification or equivalent Have recent and relevant experience as a Teaching Assistant in UK primary/SEN schools Possess excellent behaviour management skills and the ability to build strong professional rapports with children and staff Have a full understanding of safeguarding procedures and the responsibilities of a Teaching Assistant  If you think that you could be suitable for the role of Team Teach Trained Teaching Assistant , then please apply to this advert for an informal chat about the registration process. If you have not heard form us within 3 working days, then your application to the role has been unsuccessful.The Education Network Offer: Our specialist team have a combined experience of over 25 years and have unrivalled reputation within the education market, taking great pride in the extremely high service levels that we provide to both our schools and our candidates. Our service is honest and efficient and, in addition to our recruitment solution, we offer the opportunity for additional training and development for our candidates. You will also receive personalised career support from the team. The opportunity to work in friendly, caring and supportive atmosphere where every child matters. Highly supportive, committed and hard working Consultants who will endeavor to find assignments suited to your needs. An opportunity to extend your professional development as well as excellent rates of pay. The Education Network is committed to safe guarding and promoting the welfare of children and young people. Appointments will be subject to our stringent vetting procedures, including enhanced DBS checks and references.- The Education Network is committed to Safer Recruitment and recruits to Compliance standards. Any appointment will be subject to an enhanced DBS check in addition to other safeguarding checks. The Education Network is an equal opportunities employer. The Education Network is acting as a recruitment agency in relation to this vacancy. Due to the expected high-volume of applications we receive only short-listed candidates will be contacted within 3 days."	"Winlaton"	"Temporary"	"£55 - £70 a day"	-1.7260494	54.9509317
"680"	680	"Senior Recruitment Consultant-Education"	" The Clear Recruitment Group are working with a Newcastle based education agency who are looking to employ a senior consultant to grow an established team. About the role You will be responsible for: - Desk Performance-temp and perm Maintaining company standards Candidate generation-job boards, social media etc Candidate clearance-interviews and sending references Supporting Trainee Consultants Reporting to Team Manager They are not a KPI driven but have created a 'fun' environment, professional and inclusive. Package and benefits £25,000 to £35,000 per annum depending on experience with an excellent commission structure up to 20% of billings. Benefits include bonus structure depending on performance, free parking, free business mobile, team events, external training optional, free gym membership Ideal candidate An experienced billing Education Recruitment Consultant, although Recruitment Consultants from other industries are welcome to apply A decisive decision maker who can take responsibility Ambitious, self-motivated and driven to surpass targets A People person with a strong sales ability and high customer service Applications Once you have submitted your CV one of our team will give you a call to discuss your application in more detail. If you do not have an up to date CV or would like to discuss the role in more detail, please call us on 01543 226 130 Job Types: Full-time, Commission, Permanent Salary: £25,000.00 to £35,000.00 /year Experience: recruitment: 1 year (Preferred)"	"Newcastle upon Tyne"	"Commission, Permanent"	"£25,000 - £35,000 a year"	-1.6131572	54.9738474
"681"	681	"Commercial vehicle sprayer & preparation"	"Car / commercial vehicle spray painter x 1 & a preparer x 1. Must be experienced but not necessarily time served but must to be able to work on their own without supervision. We work in the main, on tractor units, large box vehicles, bin wagons, skip wagons, hook loaders, drop siders, tippers, cement lorries, cab / chassis units, Luton vans, cars & vans etc that is why an experienced people are required. We work on new vehicles straight from the factory, accident damaged ones to ones requiring refurbishment. 40 hour week, usually some overtime if a quick turn around is needed by client. 8.00 am to 5 pm. Suitable applicant will be given a trail period, to see the quality of their work and work ethic. We need someone who can hit the ground running as we have a lot of orders to be fulfilled. £10 - £15 per hour to start depending on experience. We are at Elswick East Terrace, based next to Newcastle College, George St Ind Est at the Newcastle end of the Redheugh Bridge. Please if you have NO experience of spray painting or prepping do NOT apply and we will only acknowledge suitable candidates. If you have NO experience, like working in shop, in a warehouse, ex bricklayer etc will not do and you're just wasting ours & your time."	"Newcastle upon Tyne"	"Permanent"	NA	-1.6131572	54.9738474
"682"	682	"Senior Care Assistant"	" Package Description Competitive package About The Role An exciting opportunity has arisen for a Senior Care Assistant to join the team at: Location: Astor Care Complex, Lamb Street, East Cramlington, NE23 6XP Experienced senior care required with at least 12 months relevant experience. To work 12 hours shifts over a 7 day rota period Reporting to the Care Manager, the successful Senior Care Assistant candidate will be responsible for supervising a team of Carers and will be dedicated to contributing towards the continuous high quality of care given to our residents. About You Our ideal Senior Care Assistant will have the following skills and values: Caring nature. Strong communication skills. Ability to work as part of a team and individually. Flexibility and be able to adapt to the needs of Residents. Ideally a holder of an NVQ L3 in Health and Social Care, or at least should have an NVQ L2, along with a willingness to work towards NVQ L3. Benefits In return for this you will receive a competitive salary package plus: 5.6 weeks annual leave Fully funded training Development opportunities SimplyHealth cover after one year of service, inc. cashback on medical and dental expenses Discounted Spa breaks PerkBox - a range of discounts and free monthly offers for a variety of high street shops and restaurants Cycle to Work scheme NEST pension plan Nurse and Care referral scheme Rewards for 5, 10, 15, 20 and 25 years of service Annual staff recognition - MMCG Care Awards About Us  About Us  Care is at the heart of what we do here at Maria Mallaband Care Group. We're an established family-run care provider, and we deliver care to over 3,500 residents across our 80+ care homes nationwide.  Our mission is to be the best quality; most highly regarded Care Provider in the United Kingdom and our vision is to create a home from home environment for both residents and staff.  We are committed to being an Investors in People employer, which means that we continually invest in your personal training and development. MMCG is a place where your career truly starts to grow.  All applicants will be subject to satisfactory references and all employees are checked against the Disclosure & Barring Service (DBS).  For further information about the role, call our recruitment line any time on 0808 163 9199.  You can find out more about life at MMCG on Facebook and Twitter:  www.facebook.com/mariamallabandjobs  www.twitter.com/mmcgjobs  Please be aware this vacancy may close earlier than the advertised closing date if sufficient applications have been received. "	"Cramlington "	NA	"£8.85 an hour"	-1.5932099	55.0902319
"683"	683	"Fabricator Welder"	"Fabricator / Welder - Durham MGF are currently seeking to recruit an experienced Fabricator / Welder to join our depot in Durham. Working in our busy Workshop, you will be performing skilled fabricating work during the manufacture, modification and repair of heavy steel equipment. Your main activities include:Fabricating, welding and manufacturing of all types of MGF Shoring Equipment from instructions and the reading of engineering drawingsPerforming high quality repairs on heavy duty steel equipment Demonstrate continuous effort to improve operations, decrease turnaround times and streamline work processes Observe or monitor objects to determine compliance with prescribed operating or safety standards Visually inspect welding work to determine compliance with standards and current legislation Responsible for cleanliness and housekeeping within your area  The ideal candidateTwo years welding experience, preferably heavy steel including UC, RHS, and CHS Confident in manufacturing from technical drawings in accordance with BS EN 1090 execution class 2 Take full responsibility of individual workload and be able to prioritise Work independently whilst operating as a team member Be flexible and willing to work on a variety of assignments  In addition to a competitive wage you will also receive;Full time permanent work Immediate start Usual working hours Monday - Friday (working days) 40 hours guaranteed & opportunity for regular overtime Weekly paid Security of working for a well-established and growing Company extensive Health and Safety Training Opportunity for advancement  If you are an experienced Fabricator Welder with the required skills, and would like to work for a well-established company we are looking for individuals like you! MGF is a privately owned, independent Company which has been established for over 35 years. We are a market leader in the design, manufacture, hire and sale of excavation support systems for the civil engineering and building industries. To apply please submit your CV and wage expectations to Sue McCamley at: hr@mgf.ltd.uk or Sue McCamley at MGF Ltd, Grant House, Lockett Road, Ashton in Makerfield, Wigan, WN4 8DE. We aim to be an equal opportunities employer and welcome applications from all sections of society. All applicants will be treated in the strictest of confidence."	"Durham"	"Permanent"	NA	-1.5758539	54.7764152
"684"	684	"Primary Teaching Assistant"	"Protocol Education are currently recruiting for pro-active, understanding, empathetic and patient Teaching Assistants to work on day to day supply across Co.Durham with children that have behavioural and emotional difficulties. The ideal candidates will be passionate about working with children and determined to ensure each child's learning experience is as comfortable and positive as possible. We desire (Not Essential): Have recent classroom experience in the UK. Previous experience with SEN or SEMH difficulties Have strong behaviour management skills Have excellent communication skills as well as strong literacy and numeracy skills Eligible to work in the UK (must have valid visa) Recent classroom-based references and valid DBS on the Update Service or willing to apply for one. What we can offer you: Continuing Professional Development (CPD) Social events- from pub quizzes to our legendary Thames boat party for you to meet with other Protocol Education candidates and consultants. A better work-life balance, Flexible hours to suit you Competitive daily rates Refer a Teacher £250 bonus scheme If you feel you have the qualities and experience that Protocol are looking for, please reply to this add or send your updated CV and register online on www.protocol-education.com Protocol Education is a Supply Agency offering both long terms and short terms roles in Early Years, Primary, Secondary and Special Needs (SEND) Education. We undertake safeguarding checks on all our workers in accordance with the DfE statutory guidance Keeping Children Safe in Education'. As part of these checks, we require a current Enhanced DBS Disclosure for everyone working in schools. If you do not have a valid subscription to the DBS Update Service, we will require you to complete a new DBS application as part of the registration process, at a cost of £44.00."	"Durham"	NA	NA	-1.5758539	54.7764152
"685"	685	"Mandarin Speaking Materials Controller"	" Our client is currently looking for a Mandarin Speaking Materials Controller to join their team on a 12 month fixed term contract. The role will involve communicating with suppliers in Mandarin, both written and verbally, to manage suppliers and shipping lines to ensure goods are received on time. The successful applicant will ideally be available to start in Summer 2019. Main duties will include:  Source/negotiate with existing and alternative suppliers Supplier relationship management Maintaining and updating weekly reports. Planning, placing and controlling purchase orders. Forecast/place purchase orders in accordance with material requirements Expediting and rescheduling orders Control material stock levels Maintenance and development of ERP system Liaise with internal departments regarding product approval/changes Skills, knowledge & experience:  Fluent in Mandarin, both written and verbally Previous experience within a buyer/planning role is desired Previous exposure to an engineering / manufacturing environment would be beneficial Experience of working with MRP/ERP systems Highly Competent of working with MS Excel Job Types: Full-time, Contract Salary: £20,000.00 to £26,000.00 /year "	"Washington"	"Contract"	"£20,000 - £26,000 a year"	-77.0365625	38.8950092
"686"	686	"Building Surveyor - Insurance"	" I am working with a national consultancy who are looking to recruit a Building Surveyor to join their growing Newcastle office. They work in the residential sector working with both private and public clients, working on a variety of projects including subsidence, fire & impact damage, flooding and gas explosions. They offer a range of services to their clients including civil & structural engineering, building surveying and quantity surveying. The building surveyor coming in will be responsible for managing instructions from start to finish. Day to day duties will include: Pre & Post contract administration Carrying out professional surveys Managing existing and building new client relationships Assessing and designing buildings to meet the needs of clients Determining the condition of buildings Delivering building consultancy advice Party wall matters Providing clients with cost advice The ideal candidate will have up to four years’ experience in Building Surveying and be familiar with the residential market. You will ideally hold a degree in Building Surveying and it is essential you have the drive & determination to manage your own workload and meet client’s needs. You will have the opportunity to be mentored by a senior surveyor in order to achieve your APC. There will be regular site visits across the UK which means there is a degree of flexibility required for this role. The opportunity for the candidate coming in is to be part of a well-established consultancy who have a clear future strategy in place. They are looking to diversify their portfolio of clients by offering their skills and services to the commercial sector. You will be joining a small office who have solid work ethic in place by working together as a committed team. You will be encouraged to develop and progress your career through the company and you will be rewarded with a competitive salary along with additional benefits such as bonus, pension and car allowance. Job Types: Full-time, Permanent Experience: Building Surveying: 5 years (Preferred)"	"Boldon Colliery"	"Permanent"	NA	-1.4652557	54.9501682
"687"	687	"Housing Support Worker"	" Our client in Gateshead is looking to recruit experienced Housing Support Workers to provide housing related support to people with disabilities to enable them to maintain their tenancies and to achieve their aspirations for independent living. The duties will be determined by the individual needs of the users being supported. The context in which support is provided may vary according to the users’ living environment and may include site-based support, housing management and support, housing management only or floating support only. This role is on a 6-months contract (to be reviewed thereafter) Previous experience of working with people who have support needs (This may include care of family members, voluntary work or paid employment) is desired Key tasks Identify users’ individual support needs and, through consultation and agreement with the user (and, where appropriate, their Care Manager), devise and implement suitable support plans to ensure that identified support needs are met. Encourage and support tenants to live as fully and independently as possible within the local community, providing information, emotional, organisational and practical support and training as appropriate. To carry out risk assessments as and when necessary due to the changing needs and aspirations of users. Ensure compliance with Supporting People standards and Ability policies and procedures. Organise and provide appropriate support for tenants preparing to move-on to greater independence, including support through the move and resettlement into their new home. Contribute to the protection of service users from abuse, and support service users when they are distressed. Monitor non-payment of rent and take action in line with the agreed policy and procedure on arrears. Provide debt counselling where appropriate. Participate in the assessment and selection of tenants ensuring that good practice and equality of opportunity is followed. Ensure tenants understand their tenancy agreement, their rights and obligations, and report any breaches to Team Leader/Service Manager Monitor the provision of housing services (heating, cleaning, provision of furniture, etc.), where applicable. Liaise, consult with and actively support tenants meetings, encouraging participation in decision-making processes Mandatory compliance requirements:  Up to date CV highlighting your experience Proof of ID (birth certificate, work permit, passport, residence permit)  Contactable references (past/present/recent employer/ character reference) covering the past 2 years GCSE Grade C or above (Maths and English)- certificates required Enhanced DBS issued within the last 36 months or available on the update service To apply for this job please send your CV to Nozil at LSS or alternatively contact 0747 066 7986 / 0191 303 8317 At LSS we offer our candidates the following :  A team with public sector/trades/built environment/construction recruitment experience Access to a wide selection of vacancies across the UK The choice of PAYE or Limited company schemes Weekly payroll service Excellent rates of pay Live Staffing Solutions ( LSS ) is a specialist recruiter of Trades/Built Environment/Construction and related Public Sector Jobs. To view a full selection of our current vacancies please visit our web page: www.L-ss.co.uk Job Type: Full-time Salary: £11.64 /hour Experience: working with people who have support needs: 1 year (Preferred)Licence: GCSE Garde C or above ( Maths and English) (Preferred) DBS Certificate ( issued within the last 36 months) (Preferred) "	"Gateshead "	NA	"£11.64 an hour"	-1.6057003	54.9585535
"688"	688	"EYFS Teaching Assistant"	" Vision for Education is seeking to appoint an Early Years Foundation Stage (EYFS) Teaching Assistant (TA) to join our successful supply teaching team and to work in a local primary school in Newcastle, Tyne and Wear. This is a part-time primary teaching assistant role working 3 mornings per week from 08:30-11:30, covering a Nursery class which will commence as soon as possible until the end of the academic year. The roleThe desired Early Years Foundation Stage (EYFS) Teaching Assistant (TA) will be working in a Nursery class, with a wide range of ability levels as well as a number of SEND pupils. This role would be suitable for level 3 or above Teaching Assistants, but the school would ideally like someone who has recently worked within Early Years Foundation Stage (EYPS). The schoolThis is a larger than average school which has high standards and expects the best provision for the children under its care. RequirementsTo be considered for the position of Early Years Foundation Stage (EYFS) Teaching Assistant role, you will: Hold a level 3 or above qualification. Have experience working in primary education. Have a genuine desire to become part of a committed team of the Early Years Foundation Stage department. Have a passion for working alongside and with a class teacher. Vision for Education is committed to Safeguarding children and young people. We take our responsibilities extremely seriously. All staff we register will undertake thorough interviewing and referencing checks and hold, or be prepared to undergo, an Enhanced DBS Check that must be registered to the Update Service.About Vision for EducationVision for Education is a market-leading education recruitment and supply agency committed to the learning and development of young people. We are an employer of choice for high-quality primary, secondary and SEND teaching and support staff. We have branches across the country, and we are part of the world-renowned education company TES Global.What Vision for Education offerAs a valued employee of Vision for Education, you will receive: Excellent daily rates paid weekly by our in-house payroll team using the Pay As You Earn (PAYE) system. Guaranteed pay scheme (subject to availability and qualifying criteria). Pension contributions (subject to qualifying period). Full compliance with AWR (Agency Workers’ Regulations), to make sure you get the pay and working conditions you are entitled to. FREE training to help with your professional development such as Team Teach, Autism Awareness and an online Educare training package worth £350. Regular social events with 100% complimentary food and drinks. £50 refer a friend or colleague bonus scheme. Access to a dedicated primary consultant, who will provide ongoing support. How to applyIf you are a qualified Teaching Assistant who can enthuse, motivate and engage students and would like the challenge of working in a demanding and rewarding environment, then we want to hear from you. Job Types: Full-time, Part-time, Temporary, Contract, Permanent Salary: £55.26 to £64.40 /day Experience: Teaching: 1 year (Preferred)"	"Newcastle upon Tyne"	"Part-time, Temporary, Contract, Permanent"	"£55.26 - £64.40 a day"	-1.6131572	54.9738474
"689"	689	"HGV Driver/Labourer"	" A contract to run until 11th August 2019 working for Newcastle City Council as a Driver/Labourer (please note you must be available to work overtime) Please ensure you have your CPC and Tachograph card. To be able to put you forward for this role, we would need to register you - our office is based in Stockton. Job Types: Full-time, Temporary Salary: £10.33 /hour Licence: Tachograph (Preferred) CPC (Driver Certificate of Professional Competence) (Preferred) "	"Newcastle upon Tyne"	"Temporary"	"£10.33 an hour"	-1.6131572	54.9738474
"690"	690	"Telehandler Driver"	"Kalcrest are looking for a Telehandler Driver for work in Durham DH1 starting 20/05/2019. Duties will include operating machinery and assisting on site in down time on a new build commercial site. Applicant must hold a valid CPCS card. £14ph. For more info please apply online or call Kalcrest’s Rotherham office."	"Durham "	"Temporary"	NA	-1.5758539	54.7764152
"691"	691	"Shuttering Joiner"	" Thorn Baker are looking for Shuttering Joiners to start on a project in Newcastle Duties include;  Work to drawings Erect formwork and false work for concrete structures (columns, walls, decks etc) Install box-outs for doors, windows etc. as per specifications Work with engineers to mark levels for concrete pours Work with the banks man/ crane to place formwork/ false work in position Ensure structures are plumb after concrete is placed Removing formwork/ false work after concrete has cured Candidates must have a valid CSCS card and two commercial relevant References Start Date: 27th May Rate of Pay: £17.00 - £18.00 Duration: Duration of the job Please Call Adam on 01132 444 111for more information. Job Type: Temporary Salary: £17.00 to £18.00 /hour Experience: Joinery: 5 years (Required)Licence: CSCS (Construction Skills Certification Scheme) (Required)"	"Newcastle upon Tyne"	"Temporary"	"£17 - £18 an hour"	-1.6131572	54.9738474
"692"	692	"Experienced Window Fitter"	"Looking to recruit enthusiastic experienced Window Fitters! We are the number one UPVC window and door company, looking to expand and grow further.The right candidate should have; Previous experience in UPVC doors and windows installations - minimum 3 years A fenestration MTC card or at least the credentials to pass for one Own tools - van provided Maintaining good communication between team members and customers. Have a ‘can do’ attitude. Ability to pay attention to detail and decision making skills. Self motivated. Call 07393 235 657 to discuss! WINDOW FITTER/JOINER/WINDOW INSTALLER/DOOR FITTER This is a self - employed role with high earning potential Required Education, Skills and Qualifications MTC"	"Durham"	"Permanent"	NA	-1.5758539	54.7764152
"693"	693	"Electrical Team Leader"	" Electrical Team Leader Location: South Tyneside, NE34 Pay Rate: £15.36ph Contract: Temporary Start Date: Immediately Hours: TBC Compliance:  - Job Description:  Electrical team leader required immediately for a temporary contract. To apply, please send in your CV. Job Types: Full-time, Temporary Salary: £15.30 to £15.36 /hour Experience: Electrical: 3 years (Preferred)Location: South Tyneside, Tyne and Wear (Preferred)Licence: CSCS (Construction Skills Certification Scheme) (Preferred) Driving License (Preferred) "	"South Tyneside"	"Temporary"	"£15.30 - £15.36 an hour"	-1.44768054656454	54.96987425
"694"	694	"Key Stage 2 Teaching Assistant"	" Vision for Education is looking to appoint a Key Stage 2 Teaching Assistant (KS2 TA) to join our successful supply team and work in a local primary school in the Blyth area. This is a full-time Key Stage 2 Teaching Assistant (KS2 TA) role, which will commence in September 2019 and could run for the full academic year. The role Working as part of a dynamic and creative Key Stage 2 team, the Key Stage 2 Teaching Assistant (KS2 TA) will focus on delivering small group interventions, some 1:1 support, whilst also providing general classroom support for a class of 28 children across Year 3 – Year 6. The school This larger than average primary school is looking for a committed and successful Key Stage 2 Teaching Assistant (KS2 TA) to join their motivated team. The school has effective leadership, a positive and friendly ethos and the local community is highly supportive of the school. Requirements To be considered for the Key Stage 2 Teaching Assistant (KS2 TA) position, you will: Hold a minimum of a Level 2 qualification in Childcare. Have experience of working as a Teaching Assistant in a Key Stage 2 environment. Be experienced in working with smaller nurture groups to boost attainment. Have a genuine desire to become part of a committed team of school staff. Ideally have experience delivering small group interventions and 1:1 support. Vision for Education is committed to safeguarding children and young people. We take our responsibilities extremely seriously. All staff we register will undertake thorough interviewing and referencing checks and hold, or be prepared to undergo, an Enhanced DBS check that must be registered on the Update Service. About Vision for Education  Vision for Education is a market-leading education recruitment and supply agency committed to the learning and development of young people. We are an employer of choice for high-quality primary, secondary and SEND teaching and support staff. We have branches across the country, and we are part of the world-renowned education company TES Global. What Vision for Education offer As a valued employee of Vision for Education, you will receive: Excellent daily rates paid weekly by our in-house payroll team using the Pay As You Earn (PAYE) system. Guaranteed pay scheme (subject to availability and qualifying criteria). Pension contributions (subject to a qualifying period). Full compliance with AWR (Agency Workers’ Regulations), to make sure you get the pay and working conditions you are entitled to. FREE training to help with your professional development such as Team Teach, Autism Awareness and an online Educare training package worth £350. Regular social events with 100% complimentary food and drinks. £50 refer a friend or colleague bonus scheme. Access to a dedicated consultant, who will provide ongoing support. How to apply If you are a qualified Key Stage 2 Teaching Assistant (KS2 TA) who can enthuse, motivate and engage students and would like the challenge of working in a demanding and rewarding environment, then we want to hear from you. Apply today via this website, or for more information about this role and other opportunities across Vision for Education, please contact our Newcastle primary team on 0191 267 4555. Job Types: Full-time, Part-time, Temporary, Contract, Permanent Salary: £55.26 to £59.87 /day "	"Ashington"	"Part-time, Temporary, Contract, Permanent"	"£55.26 - £59.87 a day"	-1.5708473	55.182294
"695"	695	"Articulated Dump Truck Driver"	" Optima Site Solutions currently require experienced Dumper Drivers for on-going work in the Durham area. Applicants must have a valid CPCS/NPORS and be able to provide a working reference. If available for an immediate start please call Luke on 0191 917 4740. Job Type: Contract "	"Durham"	"Contract"	NA	-1.5758539	54.7764152
"696"	696	"Support Worker/Carer"	" Castleview Group  We are quickly becoming one of the largest providers of Support Services in the Northeast  Due to winning a number of Support Services Contracts we are looking for Support Workers to work throughout Sunderland and surrounding areas.  Are you able to Support a range of clients varying in age and care requirements which can include mental health, learning disabilities, physical disabilities and clients with more complex clinical needs? As a Support Worker in this role duties will vary dependent on each client’s individual care plan. These may include personal care, assistance with moving and handling, support with community outings and medication administration. Why Work for Castleview Personal Recruitment Consultant Local office Excellent Pay Rates paid weekly Member of the month award Oncall service Contracted Hours Available Access E Learning and Practical Courses THE EXPERIENCE At least 6 months’ previous paid experience working in a support, care or nursing home in the UK within the last 2 years Medication Qualification NVQ 2 Or Above The right to live and work in the UK Referee contact details for your current place for all employments in the past 3 Years Experience of working with people that have acquired brain injuries, Adults with learning disabilities and mental health issues, severe autism, epilepsy and challenging behaviours Be of a compassionate Flexible, Reliable nature For an Informal Chat give us a call to discuss what we have available on 0191 4922422 RATES OF PAY:  £9.50 - £12.73 PER HOUR Full, part and adhoc contracts available. Job Type: Temporary Salary: £9.50 to £12.73 /hour Experience: Support Worker: 1 year (Preferred)"	"Sunderland"	"Temporary"	"£9.50 - £12.73 an hour"	-1.375053	54.9063791
"697"	697	"Small Animal Vet"	" Small Animal Vet required for a large group of practices based in the North East of England. They have almost 20 branches covering the area and a large hospital providing 24 hour veterinary care. They have a large team of vets and nurses on hand and have impressive facilities and equipment in place. They are keen to appoint an experience Small Animal Vet with good soft tissue surgical skills and the ability to work sole charge. The rota is 1:3 Saturday and 1:15 Sunday you will have share of the bank holiday rota (which is approx 1 per year). They are able to offer a great set of benefits including a sharesave initiative, pension, CPD allowance, fees paid and others. Salary will reflect level of experience and ability. For a confidential discussion about our opportunities call Ryan on 07519119233 or email a CV via the link below. If this job isn't quite right for you but you are looking for a new position, please contact us on 02887658068. If you know someone else who may be interested, why not pass this advert on to them. If we successfully place someone, you've referred to us; we'll give you £200 in high street vouchers as a way of saying thank you. All applications will be treated in the STRICTEST CONFIDENCE. Job Types: Full-time, Permanent Salary: £30,000.00 to £45,000.00 /year Experience: Veterinarian: 1 year (Preferred)"	"Gateshead"	"Permanent"	"£30,000 - £45,000 a year"	-1.6057003	54.9585535
